# Time, Wall Area, Wall Volume, Lumen Volume, Wall Area Ratio, Wall Volume Ratio, Lumen Volume Ratio, Average J, Average I1, Average J Ratio, Average I1 Ratio, No. of Frames, Open Frame, Closing Frame, Ref Frame
4.700000000000000000e+02,2.700702793054277208e+03,9.157707975985404119e+03,1.745177847203006604e+04,1.022334936273912920e+00,1.123088800409187682e+00,9.963179473273666709e-01,1.015623646804116875e+00,2.050218133996020597e+00,1.015623646804116875e+00,1.025109066998010299e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.800000000000000000e+02,2.704522292987902347e+03,9.144046851330514983e+03,1.750119157174794964e+04,1.023780785195639309e+00,1.121413418737143397e+00,9.991389296221457883e-01,1.016666156953015543e+00,2.052179663796814157e+00,1.016666156953015543e+00,1.026089831898407079e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.900000000000000000e+02,2.708341792921527485e+03,9.130385726675627666e+03,1.755060467146583323e+04,1.025226634117365698e+00,1.119738037065099334e+00,1.001959911916924906e+00,1.017708667101914211e+00,2.054141193597607717e+00,1.017708667101914211e+00,1.027070596798803859e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+02,2.712161292855152624e+03,9.116724602020738530e+03,1.760001777118371683e+04,1.026672483039091865e+00,1.118062655393055049e+00,1.004780894211704023e+00,1.018751177250812656e+00,2.056102723398401277e+00,1.018751177250812656e+00,1.028051361699200639e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.100000000000000000e+02,2.715980792788777308e+03,9.103063477365849394e+03,1.764943087090160043e+04,1.028118331960818255e+00,1.116387273721010764e+00,1.007601876506483141e+00,1.019793687399711324e+00,2.058064253199194837e+00,1.019793687399711324e+00,1.029032126599597419e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.200000000000000000e+02,2.719800292722402446e+03,9.089402352710962077e+03,1.769884397061948403e+04,1.029564180882544422e+00,1.114711892048966702e+00,1.010422858801262258e+00,1.020836197548609992e+00,2.060025782999988397e+00,1.020836197548609992e+00,1.030012891499994199e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.300000000000000000e+02,2.723619792656027585e+03,9.075741228056072941e+03,1.774825707033736762e+04,1.031010029804270811e+00,1.113036510376922417e+00,1.013243841096041375e+00,1.021878707697508659e+00,2.061987312800781957e+00,1.021878707697508659e+00,1.030993656400390979e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.400000000000000000e+02,2.722848055440321332e+03,9.037399557498529248e+03,1.776241917201595788e+04,1.030717893283633169e+00,1.108334340259129025e+00,1.014052352165378368e+00,1.021251068726366729e+00,2.059733494493926731e+00,1.021251068726366729e+00,1.029866747246963365e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.500000000000000000e+02,2.721566180763577904e+03,8.996315604062911007e+03,1.777266449613462100e+04,1.030232647269399449e+00,1.103295860314029930e+00,1.014637255320777198e+00,1.020437857630775769e+00,2.057011304175110133e+00,1.020437857630775769e+00,1.028505652087555067e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.600000000000000000e+02,2.720284306086834931e+03,8.955231650627292765e+03,1.778290982025328776e+04,1.029747401255165729e+00,1.098257380368931058e+00,1.015222158476176251e+00,1.019624646535184809e+00,2.054289113856293536e+00,1.019624646535184809e+00,1.027144556928146768e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.700000000000000000e+02,2.719002431410091503e+03,8.914147697191674524e+03,1.779315514437195452e+04,1.029262155240932008e+00,1.093218900423832185e+00,1.015807061631575081e+00,1.018811435439593849e+00,2.051566923537476939e+00,1.018811435439593849e+00,1.025783461768738469e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.800000000000000000e+02,2.717720556733348531e+03,8.873063743756056283e+03,1.780340046849062128e+04,1.028776909226698288e+00,1.088180420478733090e+00,1.016391964786973912e+00,1.017998224344002889e+00,2.048844733218660341e+00,1.017998224344002889e+00,1.024422366609330171e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.900000000000000000e+02,2.716438682056605103e+03,8.831979790320438042e+03,1.781364579260928804e+04,1.028291663212464790e+00,1.083141940533634218e+00,1.016976867942372742e+00,1.017185013248411929e+00,2.046122542899843744e+00,1.017185013248411929e+00,1.023061271449921872e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000000e+02,2.713899262507937237e+03,8.791164399004765073e+03,1.780958634870359310e+04,1.027330381086516864e+00,1.078136396680176912e+00,1.016745115240154318e+00,1.016063399686878421e+00,2.042914514291185757e+00,1.016063399686878421e+00,1.021457257145592878e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.100000000000000000e+02,2.706329663471570257e+03,8.751423256168871376e+03,1.774830783270045868e+04,1.024464954513713000e+00,1.073262597193286094e+00,1.013246739107466210e+00,1.013708176261574723e+00,2.037763132523164433e+00,1.013708176261574723e+00,1.018881566261582217e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.200000000000000000e+02,2.698760064435203276e+03,8.711682113332977679e+03,1.768702931669732425e+04,1.021599527940909136e+00,1.068388797706395277e+00,1.009748362974778102e+00,1.011352952836270802e+00,2.032611750755143110e+00,1.011352952836270802e+00,1.016305875377571555e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.300000000000000000e+02,2.691190465398835840e+03,8.671940970497083981e+03,1.762575080069418618e+04,1.018734101368105271e+00,1.063514998219504459e+00,1.006249986842089772e+00,1.008997729410967104e+00,2.027460368987121342e+00,1.008997729410967104e+00,1.013730184493560671e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.400000000000000000e+02,2.683620866362468860e+03,8.632199827661190284e+03,1.756447228469105175e+04,1.015868674795301407e+00,1.058641198732613642e+00,1.002751610709401664e+00,1.006642505985663183e+00,2.022308987219100018e+00,1.006642505985663183e+00,1.011154493609550009e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.500000000000000000e+02,2.676051267326101879e+03,8.592458684825296586e+03,1.750319376868791733e+04,1.013003248222497543e+00,1.053767399245722602e+00,9.992532345767135560e-01,1.004287282560359484e+00,2.017157605451078695e+00,1.004287282560359484e+00,1.008578802725539347e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.600000000000000000e+02,2.668481668289734898e+03,8.552717541989402889e+03,1.744191525268478290e+04,1.010137821649693679e+00,1.048893599758831785e+00,9.957548584440254480e-01,1.001932059135055564e+00,2.012006223683056927e+00,1.001932059135055564e+00,1.006003111841528463e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.700000000000000000e+02,2.665742563671840344e+03,8.536264456628527114e+03,1.742069065400325053e+04,1.009100949931641455e+00,1.046875815838506751e+00,9.945431510741936654e-01,1.001081066701742683e+00,2.010021789548893878e+00,1.001081066701742683e+00,1.005010894774446939e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.800000000000000000e+02,2.667833953472418671e+03,8.543099428742667442e+03,1.743951997264332385e+04,1.009892633068340873e+00,1.047714047484747280e+00,9.956181124672182081e-01,1.001734305260420843e+00,2.011204303048589104e+00,1.001734305260420843e+00,1.005602151524294552e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.900000000000000000e+02,2.669925343272996997e+03,8.549934400856807770e+03,1.745834929128339354e+04,1.010684316205040290e+00,1.048552279130987808e+00,9.966930738602427509e-01,1.002387543819099003e+00,2.012386816548284330e+00,1.002387543819099003e+00,1.006193408274142165e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+02,2.672016733073575324e+03,8.556769372970948098e+03,1.747717860992346687e+04,1.011475999341739707e+00,1.049390510777228336e+00,9.977680352532672936e-01,1.003040782377777163e+00,2.013569330047979555e+00,1.003040782377777163e+00,1.006784665023989778e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.100000000000000000e+02,2.674108122874154105e+03,8.563604345085088426e+03,1.749600792856353655e+04,1.012267682478439346e+00,1.050228742423468864e+00,9.988429966462918363e-01,1.003694020936455100e+00,2.014751843547674781e+00,1.003694020936455100e+00,1.007375921773837391e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.200000000000000000e+02,2.676199512674732432e+03,8.570439317199230572e+03,1.751483724720360988e+04,1.013059365615138763e+00,1.051066974069709392e+00,9.999179580393163791e-01,1.004347259495133260e+00,2.015934357047370007e+00,1.004347259495133260e+00,1.007967178523685003e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.300000000000000000e+02,2.678290902475310759e+03,8.577274289313370900e+03,1.753366656584367956e+04,1.013851048751838180e+00,1.051905205715949920e+00,1.000992919432340811e+00,1.005000498053811420e+00,2.017116870547065233e+00,1.005000498053811420e+00,1.008558435273532616e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.400000000000000000e+02,2.684700051169418202e+03,8.602647897220849700e+03,1.758338954174587343e+04,1.016277193768095222e+00,1.055016990339525229e+00,1.003831592485937119e+00,1.007169008258799625e+00,2.021564476505111063e+00,1.007169008258799625e+00,1.010782238252555532e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
